email_id,timestamp,to,topic_gt,sentiment_gt,length_bucket,word_target,email_text
23d27c17-9d1d-47ca-8387-f08f21fe0162,2025-06-29T12:24:00,Mr Miller,Healthcare,Very Negative,Medium,259,"Dear Mr Miller,"
d8de6bd2-da71-4531-9f72-3fd15d869767,2025-06-29T18:41:00,Mr Miller,Healthcare,Very Negative,Medium,208,"Dear Mr Miller,

[Generation failed: ]"
2da36f03-2388-464f-aa4e-af84c6630786,2025-06-29T18:15:00,Mr Miller,Healthcare,Very Negative,Long,362,"Dear Mr Miller,

I am writing to express my profound disappointment and anger at the state of healthcare in our constituency, a situation that has escalated to an intolerable level over the past few months. The local NHS Trust has been in a state of disarray, and the lack of action from your office is nothing short of a dereliction of duty.

The Eastfield Community Hospital, which once served as a beacon of hope for our elderly, now operates with a skeletal staff. I have witnessed the same GP surgery on Main Street, where patients are turned away because the clinic has run out of appointment slots for over a year. Mrs. Patel, a 78‑year‑old resident, was denied a routine check‑up last week, forcing her to travel to the city hospital, a 45‑minute drive, to receive basic care that should have been available locally. The"
f833d1e9-d235-4f60-8165-1c924840a21b,2025-06-29T12:47:00,Mr Miller,Healthcare,Very Negative,Medium,172,"Dear Mr Miller,"
31f3b894-f7ed-4058-87b9-082b3451531b,2025-06-29T19:18:00,Mr Miller,Healthcare,Neutral,Medium,249,"Dear Mr Miller,"
cfd496eb-3ea3-4b83-8dd4-cac1713afbb5,2025-06-29T18:55:00,Mr Miller,Education,Negative,Short,85,"Dear Mr Miller,"
8f222143-70b7-4eff-b0b2-0caeca7d7fcd,2025-06-29T13:09:00,Mr Miller,Education,Very Negative,Medium,222,"Dear Mr Miller,

[Generation failed: ]"
410e8620-3d9a-4c29-b3c4-943f0b7ac97c,2025-06-29T16:20:00,Mr Miller,Education,Neutral,Medium,280,"Dear Mr Miller,"
afc584dc-130a-43b6-ae50-fd4e7984eab8,2025-06-29T17:52:00,Mr Miller,Education,Very Negative,Medium,253,"Dear Mr Miller,"
52c90d2b-6cf1-45ef-93a7-48daeae189cf,2025-06-29T12:15:00,Mr Miller,Crime,Very Positive,Medium,272,"Dear Mr Miller,"
d00bb136-3da5-49da-a016-a328524e09d6,2025-06-29T17:38:00,Mr Miller,Crime,Neutral,Medium,148,"Dear Mr Miller,"
c95b7cf2-fdaf-4a35-b5d0-8be3201502c1,2025-06-29T10:09:00,Mr Miller,Crime,Negative,Medium,156,"Dear Mr Miller,"
45b5b0b6-1fe3-4c31-b726-664c093ca9ab,2025-06-29T19:38:00,Mr Miller,Crime,Very Positive,Medium,154,"Dear Mr Miller,"
0f8aca02-1e69-4a75-9b02-c084a447634a,2025-06-29T15:38:00,Mr Miller,Crime,Neutral,Medium,279,"Dear Mr Miller,"
2effe644-f799-47cd-a6cd-6385fb551ea8,2025-06-29T12:22:00,Mr Miller,Crime,Negative,Medium,229,"Dear Mr Miller,"
efaa9579-54c7-4bf6-858a-4770dc401d74,2025-06-29T11:27:00,Mr Miller,Crime,Positive,Medium,163,"Dear Mr Miller,"
b3082e87-01e1-4be5-be82-4d67af18b39c,2025-06-29T16:51:00,Mr Miller,Immigration,Very Negative,Medium,229,"Dear Mr Miller,"
cd37b436-a7e0-43ce-b218-772c5b879c8c,2025-06-29T19:54:00,Mr Miller,Transportation,Very Positive,Medium,202,"Dear Mr Miller,"
acef70fb-2121-4961-b1e6-17fe1f5ff466,2025-06-29T12:18:00,Mr Miller,Transportation,Very Negative,Medium,199,"Dear Mr Miller,"
e01680bc-9b80-4e04-9f4c-384ac8994853,2025-06-29T16:05:00,Mr Miller,Transportation,Very Positive,Medium,277,"Dear Mr Miller,

[Generation failed: ]"
0b47e475-16aa-4508-8d24-91be1f2e7e8a,2025-06-29T17:11:00,Mr Miller,Transportation,Positive,Medium,211,"Dear Mr Miller,

[Generation failed: ]"
aea72046-96e8-40f2-9092-7f09bb5853ce,2025-06-29T11:21:00,Mr Miller,Transportation,Very Negative,Medium,204,"Dear Mr Miller,"
24335cd3-bc7b-4b59-b783-fb3bfc5b07b0,2025-06-29T14:12:00,Mr Miller,Transportation,Negative,Medium,173,"Dear Mr Miller,"
0387af87-07dd-4114-8bf2-5dcf9c60bcee,2025-06-29T11:44:00,Mr Miller,Environment,Negative,Long,405,"Dear Mr Miller,

[Generation failed: ]"
643d91ca-6691-4afc-9b23-247a33af8fb2,2025-06-29T14:13:00,Mr Miller,Environment,Positive,Medium,257,"Dear Mr Miller,

[Generation failed: ]"
cb0ec70f-5945-4618-8fd8-ebee5ce2506a,2025-06-29T09:20:00,Mr Miller,Environment,Very Positive,Medium,212,"Dear Mr Miller,

[Generation failed: ]"
71eea540-7d7b-479d-9ea8-214923a24db8,2025-06-29T10:21:00,Mr Miller,Environment,Very Positive,Medium,245,"Dear Mr Miller,

[Generation failed: ]"
71197c90-433b-419f-ad8b-501be003c929,2025-06-29T18:40:00,Mr Miller,Environment,Positive,Medium,146,"Dear Mr Miller,"
d5f4764e-e058-41f0-95c7-407b999a72fd,2025-06-29T11:10:00,Mr Miller,Taxation,Negative,Medium,236,"Dear Mr Miller,"
f853a2c0-d965-4b61-815e-c01579356ca1,2025-06-29T18:58:00,Mr Miller,Housing,Neutral,Medium,214,"Dear Mr Miller,

[Generation failed: ]"
99dfa158-d6c3-494a-9b06-da13461f9646,2025-06-29T14:04:00,Mr Miller,Pensions,Positive,Short,109,"Dear Mr Miller,"
6ec998c7-7c92-4285-8756-6e4e5e0c7b8a,2025-06-29T15:10:00,Mr Miller,Pensions,Negative,Medium,221,"Dear Mr Miller,"
eec4c0f9-a6b9-4dae-b24d-a0ec1d4a4f2e,2025-06-29T15:23:00,Mr Miller,Pensions,Very Negative,Medium,235,"Dear Mr Miller,"
abcd399f-a849-4df5-9957-ab807dcefb05,2025-06-29T16:24:00,Mr Miller,Pensions,Positive,Medium,133,"Dear Mr Miller,"
fe500a68-b39f-4c64-bebc-3eec5bfdc72b,2025-06-29T16:04:00,Mr Miller,Pensions,Very Negative,Medium,169,"Dear Mr Miller,"
473941a4-abc0-4575-ad43-4395912576eb,2025-06-29T11:40:00,Mr Miller,Pensions,Very Negative,Long,494,"Dear Mr Miller,"
05624b7e-f340-4110-80c4-73e2cc51a592,2025-06-29T11:57:00,Mr Miller,Pensions,Negative,Medium,242,"Dear Mr Miller,"
c796afa7-6d1b-4744-9ef2-990a03629780,2025-06-30T19:28:00,Mr Miller,Healthcare,Very Positive,Medium,259,"Dear Mr Miller,"
5805eb07-646a-4ae8-94bb-994016c9de0f,2025-06-30T17:09:00,Mr Miller,Healthcare,Negative,Medium,157,"Dear Mr Miller,

[Generation failed: ]"
9659860f-a381-4d83-a7d6-1e11ebb3407e,2025-06-30T14:26:00,Mr Miller,Healthcare,Neutral,Medium,171,"Dear Mr Miller,"
843d02a9-6661-4dec-8ab6-d9f6240d611d,2025-06-30T18:57:00,Mr Miller,Healthcare,Very Negative,Medium,234,"Dear Mr Miller,"
550f2271-4b30-4f7b-9194-aa72518a253b,2025-06-30T13:48:00,Mr Miller,Healthcare,Negative,Medium,151,"Dear Mr Miller,"
17355f7e-4328-4622-a28f-09771d102165,2025-06-30T18:52:00,Mr Miller,Healthcare,Very Negative,Medium,156,"Dear Mr Miller,"
0afe29d6-827a-4a18-b876-8adc10c38efa,2025-06-30T18:32:00,Mr Miller,Education,Positive,Medium,218,"Dear Mr Miller,"
